                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94821,                0.71235,                 1.0869,                0.80344,                0.88462,                0.83673,                0.63883,                0.95779,                0.94874,                 1.1528,               0.006634,               0.006634,               0.006634
                     36,                0.93381,                0.69453,                 1.1238,                0.84776,                 0.8869,                0.88739,                0.66158,                0.98014,                 0.8221,                 1.1706,               0.006535,               0.006535,               0.006535
                     37,                0.97592,                0.70288,                 1.1248,                0.92224,                 0.7853,                 0.9023,                0.65008,                 1.0855,                0.85694,                 1.2113,               0.006436,               0.006436,               0.006436
                     38,                0.94806,                0.71535,                 1.1265,                0.92374,                0.82191,                0.91129,                0.67382,                0.97419,                0.85639,                 1.1527,               0.006337,               0.006337,               0.006337
                     39,                0.96645,                0.73679,                 1.1203,                0.91496,                0.69147,                0.86981,                 0.5966,                 1.1965,                 1.0321,                 1.3664,               0.006238,               0.006238,               0.006238
                     40,                0.93927,                0.72131,                 1.1068,                0.92045,                 0.8461,                0.93745,                0.67819,                 1.0217,                0.76761,                 1.1711,               0.006139,               0.006139,               0.006139
                     41,                0.88483,                0.64525,                 1.0705,                0.93662,                0.81689,                0.91869,                0.61832,                  1.112,                 0.7996,                 1.2015,                0.00604,                0.00604,                0.00604
                     42,                0.92245,                0.65725,                 1.0947,                0.85407,                0.89574,                0.88188,                0.63066,                 1.0276,                0.80542,                 1.1748,               0.005941,               0.005941,               0.005941
                     43,                0.91052,                0.65217,                 1.0901,                0.94394,                0.80997,                0.91214,                 0.6839,                0.96489,                0.76963,                 1.1215,               0.005842,               0.005842,               0.005842
                     44,                0.90817,                0.68997,                 1.0988,                0.88889,                0.89412,                0.91468,                0.69565,                0.91572,                0.81986,                 1.1019,               0.005743,               0.005743,               0.005743
                     45,                 0.8903,                0.64295,                 1.0837,                0.94362,                0.82974,                0.93694,                0.72414,                0.91338,                0.69544,                  1.114,               0.005644,               0.005644,               0.005644
                     46,                 0.8857,                0.64918,                 1.0954,                0.91055,                0.83863,                0.92288,                0.71068,                0.92557,                 0.7264,                 1.1289,               0.005545,               0.005545,               0.005545
                     47,                0.85674,                0.64277,                 1.0774,                0.84332,                0.86037,                0.91536,                0.66699,                  1.074,                 0.7529,                 1.2278,               0.005446,               0.005446,               0.005446
                     48,                0.86252,                0.63041,                 1.0842,                0.86672,                0.83487,                0.89568,                 0.6541,                  1.017,                0.83184,                 1.1971,               0.005347,               0.005347,               0.005347
                     49,                0.90239,                0.64026,                 1.1083,                0.81501,                0.82814,                0.85766,                0.63753,                0.99905,                0.95264,                 1.1362,               0.005248,               0.005248,               0.005248
                     50,                0.85628,                0.61556,                 1.0727,                0.89182,                0.85561,                0.88687,                0.66749,                0.99562,                0.83903,                  1.178,               0.005149,               0.005149,               0.005149
                     51,                0.86202,                0.62945,                 1.0852,                0.91836,                0.84114,                0.91677,                0.69899,                 1.0001,                0.74901,                 1.1491,                0.00505,                0.00505,                0.00505
                     52,                0.84557,                0.60576,                 1.0571,                0.85217,                0.88137,                0.92942,                 0.7346,                0.89545,                  0.817,                 1.0914,               0.004951,               0.004951,               0.004951
                     53,                0.84523,                0.60466,                 1.0764,                0.87506,                0.86024,                0.91038,                0.67491,                 1.0699,                0.81185,                 1.1925,               0.004852,               0.004852,               0.004852
                     54,                0.82086,                0.59185,                 1.0434,                0.88746,                 0.8454,                 0.9106,                0.69113,                 1.0093,                0.78148,                 1.1601,               0.004753,               0.004753,               0.004753
                     55,                0.82369,                0.61975,                 1.0684,                0.95673,                0.77843,                0.89778,                 0.6696,                   1.02,                 0.8212,                 1.1804,               0.004654,               0.004654,               0.004654
                     56,                0.81768,                0.58803,                 1.0498,                0.95883,                0.80728,                0.92922,                0.71106,                0.95192,                0.74217,                 1.1263,               0.004555,               0.004555,               0.004555
                     57,                0.82389,                0.59516,                 1.0445,                0.97216,                0.85768,                0.93928,                0.70676,                 1.0202,                0.75419,                 1.1792,               0.004456,               0.004456,               0.004456
                     58,                0.79825,                0.57936,                 1.0535,                0.90433,                0.84114,                0.91465,                0.66429,                 1.1071,                0.80311,                 1.2429,               0.004357,               0.004357,               0.004357
                     59,                0.81503,                0.60312,                 1.0519,                0.96451,                0.83738,                0.91566,                 0.6971,                0.94537,                0.74369,                 1.1366,               0.004258,               0.004258,               0.004258
                     60,                0.79602,                0.58998,                 1.0414,                0.94626,                0.82191,                 0.8936,                 0.6208,                 1.1947,                0.84987,                 1.2854,               0.004159,               0.004159,               0.004159
                     61,                0.81211,                0.60317,                 1.0602,                0.93178,                0.86037,                0.92394,                0.69761,                0.95522,                0.74342,                 1.1378,                0.00406,                0.00406,                0.00406
                     62,                0.76871,                0.55726,                 1.0353,                0.91439,                0.87397,                0.92272,                0.68789,                 1.0339,                0.74444,                 1.1933,               0.003961,               0.003961,               0.003961
                     63,                0.78136,                0.54885,                 1.0451,                0.92429,                0.84114,                0.89628,                0.65878,                 1.0134,                0.84732,                 1.1864,               0.003862,               0.003862,               0.003862
                     64,                0.74239,                0.53331,                 1.0214,                0.91629,                0.83574,                0.87269,                0.64998,                0.98162,                 0.8308,                  1.131,               0.003763,               0.003763,               0.003763
                     65,                0.72913,                0.52749,                 1.0285,                0.92767,                0.86037,                0.89444,                0.65878,                 0.9988,                 0.6817,                 1.1756,               0.003664,               0.003664,               0.003664
                     66,                0.74673,                 0.5356,                 1.0342,                0.91955,                0.85689,                0.89515,                0.65498,                 1.0212,                 0.6884,                 1.1859,               0.003565,               0.003565,               0.003565
                     67,                0.78249,                0.54727,                 1.0405,                 0.9067,                0.83874,                0.90537,                0.70065,                0.95064,                0.70753,                 1.1384,               0.003466,               0.003466,               0.003466
                     68,                0.75718,                0.54191,                  1.041,                0.92353,                0.85678,                0.91421,                 0.6901,                0.92509,                0.69984,                 1.1085,               0.003367,               0.003367,               0.003367
                     69,                0.73697,                0.55204,                 1.0247,                0.94912,                  0.844,                0.89231,                0.67272,                0.97416,                0.73904,                 1.1761,               0.003268,               0.003268,               0.003268
                     70,                0.71692,                0.51322,                 1.0137,                0.93198,                 0.8194,                0.90134,                0.68276,                  0.971,                0.76738,                 1.1828,               0.003169,               0.003169,               0.003169
                     71,                0.75802,                 0.5568,                  1.046,                0.97014,                0.84804,                 0.9305,                0.65808,                 1.1305,                0.68476,                 1.2264,                0.00307,                0.00307,                0.00307
                     72,                0.74698,                0.53766,                 1.0198,                0.92998,                 0.8621,                0.92119,                0.71902,                0.91675,                0.68479,                 1.0953,               0.002971,               0.002971,               0.002971
                     73,                0.70715,                0.50237,                 1.0143,                0.93276,                0.85544,                0.88479,                0.70551,                0.85959,                0.74091,                  1.077,               0.002872,               0.002872,               0.002872
                     74,                 0.6989,                0.50083,                 1.0151,                 0.9149,                0.86037,                0.89218,                0.69484,                0.89446,                0.70896,                 1.0828,               0.002773,               0.002773,               0.002773
                     75,                0.69782,                0.50602,                 1.0227,                0.90589,                0.85957,                0.91062,                0.70577,                 0.8944,                0.70325,                 1.0987,               0.002674,               0.002674,               0.002674
